"Title","Authors","Publisher","Published Date"
"The Complete Gardener's Guide","DK","National Geographic Books","2020-10-20"
"How to Grow Your Own Food","Angela S. Judd","Simon and Schuster","2021-05-25"
"Manual of Gardening","Liberty Hyde Bailey","Simon and Schuster","1917"
"Reader's Digest Illustrated Guide to Gardening","Reader's Digest","Simon and Schuster","1995"
"The Gardener's Guide to Cactus","Scott Calhoun","Timber Press","2012-01-11"
"Gardener's Guide to Water Gardens","Derek Lambert","TFH Publications","1998-04"
"Rodale's Basic Organic Gardening","Deborah L. Martin","Rodale Books","2014-03-11"
"Taylor's Master Guide to Landscaping","Rita Buchanan","Houghton Mifflin Harcourt","2000"
"The Beginner's Guide to Gardening","Editors of Creative Homeowner","Creative Homeowner","2012-11-30"
"The Timber Press Guide to Vegetable Gardening in the Mountain States","Mary Ann Newcomer","Timber Press","2013-12-31"
